Name,Quantity,Sell price,buy price
3D Printed Octopus,50,10,5
3D Printed Shark,30,15,8
3D Printed Dragon,70,25,13
3D Printed Unicorn,40,20,10
3D Printed Cat,60,8,4
3D Printed Dog,25,12,6
3D Printed Elephant,45,18,9
3D Printed Lion,55,22,11
3D Printed Tiger,35,24,12
3D Printed Bear,65,16,8
3D Printed Rabbit,75,9,5
3D Printed Fox,20,14,7
3D Printed Owl,80,11,6
3D Printed Eagle,15,19,10
3D Printed Turtle,90,13,7
3D Printed Frog,85,7,4
3D Printed Snake,95,10,5
3D Printed Butterfly,100,6,3
3D Printed Bee,10,5,3
3D Printed Flower,22,8,4
3D Printed Tree,33,17,9
3D Printed House,44,30,15
3D Printed Car,66,25,13
3D Printed Boat,77,28,14
3D Printed Rocket,88,35,18
